1,fr,Quel film à succès a réuni sur les écrans Sean Connery et Christophe Lambert ?,« Highlander »,« Subway »,« Mad Max »,« Greystoke »,Débutant,"« A Kind of Magic » est un album du groupe Queen, sorti en juin 1986, dont six de ses neuf morceaux sont utilisés dans le film « Highlander ».",https://fr.wikipedia.org/wiki/Highlander
2,fr,"Quel pays, dont les premiers habitants étaient des Newars, a pour capitale Katmandou ?",Népal,Tibet,Corée du Nord,Pakistan,Débutant,Katmandou est la capitale politique et religieuse du Népal ainsi que la plus grande ville du pays.,https://fr.wikipedia.org/wiki/Katmandou
3,fr,Dans quel film John Travolta incarne-t-il un ange tombé du ciel ?,« Michael »,« Johnny »,« Sam »,« Jerry »,Débutant,"Dans le film « Michael », deux journalistes enquêtent sur un soi-disant vrai ange vivant chez une dame âgée.","https://fr.wikipedia.org/wiki/Michael_(film,_1996)"
4,fr,Pour quel auteur-compositeur-interprète aux 40 millions de disques Capri est-il fini ?,Hervé Vilard,Salvatore Adamo,Serge Lama,Charles Aznavour,Débutant,"Didier Barbelivien, Michel Fugain et Danyel Gérard ont fait partie de la liste des artistes qui ont composé pour Hervé Vilard.",https://fr.wikipedia.org/wiki/Hervé_Vilard
5,fr,"Quel peintre, né en 1844, est également appelé par beaucoup le Douanier ?",Henri Rousseau,Pablo Picasso,Edgar Degas,Salvador Dali,Débutant,Le premier portrait connu réalisé par le peintre Henri Rousseau semble être celui de sa première femme.,https://fr.wikipedia.org/wiki/Henri_Rousseau
6,fr,Quel personnage imaginaire fut popularisé par le roman de E.R. Burroughs et par le cinéma ?,Tarzan,King-Kong,Nessie,Le Yéti,Débutant,Edgar Rice Burroughs a inspiré bon nombre d'auteurs de science-fiction et de fantastique ainsi que de nombreux réalisateurs.,https://fr.wikipedia.org/wiki/Edgar_Rice_Burroughs
7,fr,Quelle est la seule valeur à la roulette à porter la couleur verte ?,Zéro,Quarante,Cinquante,Treize,Débutant,"À la roulette, lorsque le croupier donne la main, chaque joueur mise sur un numéro qu'il espère être tiré pour remporter la mise.",https://fr.wikipedia.org/wiki/Roulette_(jeu_de_hasard)
8,fr,"Quelle est la race du chien de Columbo, inspecteur perspicace de la télé ?",Basset,Beagle,Bichon,Bull-terrier,Débutant,"Interrompue en 1978, la série télévisée « Columbo » a été ressuscitée en 1989, toujours avec Peter Falk dans le rôle principal.",https://fr.wikipedia.org/wiki/Columbo
9,fr,Quelle est la plus petite unité de mémoire utilisable sur un ordinateur ?,Bit,Byte,Bar,Becquerel,Débutant,"La mémoire est un composant matériel essentiel de nombreux appareils électroniques, présent dans tous les ordinateurs.",https://fr.wikipedia.org/wiki/Mémoire_(informatique)
10,fr,"Dans le langage familier, comment appelle-t-on la dent du petit enfant ?",Quenotte,Quartette,Quintuple,Quittance,Débutant,Il est important de bien se brosser les dents de manière régulière si l'on veut éviter la prolifération de caries dans la bouche.,https://fr.wikipedia.org/wiki/Dent
